id,answer,explain
1,false,"「交通法規を守る必要はない」が誤り。安全運転の基本的なことです。"
2,true,"設問の通りです。体調が優れないときは、運転は控えましょう。"
3,false,"「速度を上げて走行したほうがよい」が誤り。無理をしないで運転をやめる。"
4,false,"「運転することができる」が誤り。短時間の睡眠では、体内から抜けません。"
5,false,"「勢いよく一気に」が誤り。少し開け、一度止める。"
6,true,"設問の通りです。"
7,false,"「手に持って使用してもよい」が誤り。運転中は手に持ちながらは禁止。"
8,false,"「注視しながら運転してもよい」が誤り。運転中は操作できません。"
9,true,"設問の通りです。"
10,false,"「同乗者はさせなくてよい」が誤り。同乗者にも必ず着用させる。"
11,true,"設問の通りです。"
12,false,"「自宅に保管」が誤り。車に備えておかなければなりません。"
13,false,"「ひざが伸びきった」が誤り。ひざは曲がってないといけません。"
14,true,"設問の通りです。"
15,true,"設問の通りです。"
16,true,"設問の通りです。"
17,false,"「常に右側」が誤り。状況により左側のほうがよい。"
18,true,"設問の通りです。"
19,false,"「Dの位置にあるかを確認」が誤り。Pの位置に入っているかを確認する。"
20,true,"設問の通りです。"
21,true,"設問の通りです。"
22,true,"設問の通りです。"
23,true,"設問の通りです。"
24,false,"「注意する必要はない」が誤り。動きやすい服装、ペダルをしっかり踏める履物です。"
25,true,"設問の通りです。"
26,true
27,false
28,true
29,false
30,true
31,true
32,true
33,false
34,true
35,false
