id,question
1,この標示は、立ち入り禁止部分であることを示している。
2,同一方向に二つの車両通行帯があるとき、普通自動車は、右側の車両通行帯を通行しなければならない。
3,同一方向に三つの車両通行帯のある道路で、普通自動車を運転し、二つの通行帯にまたがって通行した。
4,道路に面した場所に出入りするために歩道や路側帯を横切る場合には、運転者はその直前で一時停止するとともに、歩行者の通行を妨げないようにしなければならない。
5,左側部分の道幅が6メートル未満の見通しのよい道路では、標識や標示によって追越しが禁止されている場合や対向車がある場合を除いて、道路の中央から右側部分にはみ出して追い越しすることができる。
6,警察署や消防署などの前に停止禁止部分の標示がなされていても、それは緊急時の標示であるから、緊急時以外であれば、標示部分に入って停止してもかまわない。
7,この標示がある道路では、必ず中央線から右側にはみ出して通行しなければならない。
8,歩行者用道路では、沿道に車庫を持つ車などで特に通行を認められた車は、歩行者に注意し、徐行して通行することができる。
9,前方の交通が混雑しているため、交差点内で止まってしまい交差方向の車の通行を妨げるおそれがあるときは、信号が青でも交差点に入ってはならない。
10,道路工事で道路の左側部分を通行できなかったので、前方や後方などの安全を確認したのち、中央から右側部分を通行した。
