id,answer,explain
1,true,ブレーキをかけるときは、正しい乗車姿勢を保ったままかける事が大切です。
2,true,カーブでは遠心力が働くことを考えて、車体を傾けて自然に曲がるようにします。
3,true,転倒したときの事を考えて体の露出が少なくなるような服装をします。
4,true,三輪車の積荷の高さの制限は2メートル以下となっています。
5,true,三輪車のヘルメットは、安全性を考えて造られたマークのついたものを正しく着用します。
6,false,あそびがなくなると、常にブレーキが効いた状態になり危険ですから、適当なあそびが必要です。
7,true,周囲の運転者に、不安を感じさせるような運転はしてはいけません。
8,true,二輪車で側車付きや他の車をけん引しているもの以外は、エンジンを止めて押して歩けば歩行者扱いになります。
9,false,平地でセンタースタンドを立てることが楽にできることも、二輪車を選ぶ条件の一つです。
10,false,マフラーを外すと、騒音により周囲に迷惑をかけるので取りはずしてはいけません。
11,false,二輪車も自賠責保険又は責任共済に、必ず加入していなければいけません。
12,false,後輪ブレーキを強くかけすぎると、後輪がロックして転倒する原因となり危険です。
13,true,カーブ手前で十分速度を落とし、カーブ内は安全な速度で走行します。
14,true,二輪車は、積載装置から後方に30センチメートルまでならはみ出して積むことができます。
15,true,三輪車は転倒するという特性などがあるので四輪車とは違った運転技術が必要です。
16,false,前の車に続いて、交差点の中心のすぐ内側を徐行して通行します。
17,true,車輪がロックすると転倒する原因になるので、数回に分けてブレーキをかけます。
18,true,大型自動二輪免許で運転できる車種となります。
19,true,カーブに進入する前に、カーブに応じた安全速度に落として走行します。
20,false,原動機付自転車は30キログラム、自動二輪車は60キログラムまで荷物を積むことができます。
21,false,二輪車も、右左折や道路工事などでやむを得ない場合のほかは、専用通行帯を通行してはいけません。
22,false,四輪車の場合は停止後にエンジンを切りますが、二輪車は最初にエンジンを切ります。
23,true,ブレーキは同時にかけますが、乾いた路面では前輪ブレーキを、すべりやすい路面は後輪ブレーキをやや強めにかけるようにします。
24,false,工事用安全帽は、二輪車の乗車用ヘルメットとして認められておりません。
25,true,乗りなれた人が、先頭と最後尾を走り、初心者に合わせた運転計画をたてます。
26,false,正しい乗車姿勢を保つため、背筋をのばし、視線は先の方に向けて運転します。
27,false,スロットル（アクセル）を戻すと、車輪に伝わるエンジンの力は弱くなります。
28,true,設問のブレーキのかけかたが、最も安定性がよく、効果的なかけかたとなります。
29,false,前の車が進路を変えようとしているときは、追越しをしてはいけません。
30,false,いきなり低速ギアに入れると、エンジンをいためたり、転倒するおそれがあり危険です。
31,false,クラッチを切った状態で走行すると、安定性を失い危険なので動力をつなげた状態で走行します。
32,false,積載装置の幅に、左右それぞれ0.15メートルを加えた幅までとなります。
33,true,車を長持ちさせ、事故防止になりますのでしっかりと点検します。
34,true,後輪ブレーキ、前輪ブレーキ、エンジンブレーキの3種類があります。
35,false,交差点の中心の外側ではなく、内側を徐行して進行します。
36,true,体格及び運転経験に合った車種を選びます。
37,true,視認性を高めるため、反射性の衣服や反射材のついたものを着用します。
38,false,高速自動車国道も自動車専用道路も通行できません。
39,true,二輪車は、車体が小さいため四輪車の死角に入らないように注意して運転しなければなりません。
40,true,追突防止や安定した制動が得られます。
41,true,二輪免許の取得期間が通算して1年以上あれば二人乗りができます。
42,false,20歳以上でかつ自動二輪免許を受けて3年以上経過していなければ二人乗りはできません。
43,true,変形ハンドルは、運転の妨げになり危険です。
44,false,ハンドルは、手前に引くのではなく、前に押すような気持ちで持ちます。
45,true,左折と左に進路変更するときの合図となります。
46,false,上り坂の頂上付近は、二輪車も追越し禁止場所となります。
47,false,スロットル（アクセル）で速度を変化させるのではなく、一定に保って走行します。
48,false,スロットル（アクセル）を戻すと、車輪に伝わるエンジンの力が弱くなり、低速走行になると安定を失います。
49,false,ブレーキとエンジンブレーキを使って速度を落としますのでクラッチは停止直前に切ります。
50,false,適当なゆるみが必要ですから、張りすぎたり、ゆるみすぎはいけません。
