id,question
1,"二輪車でブレーキをかけたときに前のめりにならないようにするために、正しい乗車姿勢で運転しなければならない。"
2,"二輪車でカーブを曲がるときは、タンクを両ひざでしめて遠心力の影響をおさえ、車体と体を傾けて自然に曲がる。"
3,"二輪車に乗る時の服装は、体の保温や転倒も考えて、体の露出がなるべく少なくなるようにしなければならない。"
4,"大型自動二輪車（側車付を除く）や原動機付自転車の積荷の高さの制限は、地上から2メートル以下である。"
5,"二輪車の乗車用ヘルメットは、PSC（またはPS(C)）マーク・Sマーク・JISマークのついた定められたものを使用し、あごひもを確実に締め、正しく着用しなければならない。"
6,"二輪車の前輪ブレーキは制動力が大きいので、ブレーキレバーのあそびがなくなるように調整した方が停止距離を短くできる。"
7,"二輪車は、渋滞しているからといって車の間をぬって走ったりジグザグ走行したりすることは危険であり、周囲の運転者に不安を与えるのでしてはならない。"
8,"自動二輪車（側車付を除く）でエンジンを切って押して歩く場合は、歩行者として扱われる。"
9,"二輪車を選ぶときは、8の字型に押して歩ければセンタースタンドを立てられなくても体格に合った車種といえる。"
10,"二輪車のマフラーをはずして運転すると、騒音は大きくなるが馬力が上がるので運転しやすくなる。"
11,"二輪車は任意保険に加入していれば、自賠責保険または責任共済が切れていても運転することができる。"
12,"二輪車を安全に急停止させるためには、後輪ブレーキをできるだけ強く踏み、前輪ブレーキは補助的に使うとよい。"
13,"二輪車でカーブや曲がり角を走行するときは、カーブの途中でクラッチを切らずに、スロットルで速度を加減しながら曲がるとよい。"
14,"大型自動二輪車や普通自動二輪車は、荷台の後方から30センチメートルまでなら荷物をはみ出して積むことができる。"
15,"二輪車は四輪車とは違い体でバランスをとらなければならないので、二輪車特有の運転技術が必要である。"
16,"交差点で右折する二輪車は、右折の車が何台も続いている場合はその車の左側から回りこんで右折するとよい。"
17,"二輪車は常に安全なブレーキ操作を心がける必要があるので、車輪がロック（車輪が止まった状態）するようなブレーキは避けなければならない。"
18,"大型二輪の免許を受けている者は、大型自動二輪車、普通自動二輪車、小型特殊自動車、原動機付自転車を運転することができる。"
19,"二輪車はカーブの手前の直線部分で十分減速してからカーブに進入した方がよい。"
20,"大型自動二輪車や原動機付自転車の荷台に荷物を積むときは、どちらも60キログラムまでである。"
21,"自動二輪車は、路線バスなどの通行が少なければ路線バスなどの専用通行帯を通行することができる。"
22,"二輪車で走行中に故障などによりエンジンの回転数が上がった後下がらなくなったときは、まず断続的にブレーキをかけて止まるようにするとよい。"
23,"二輪車でブレーキをかける場合は、乾いた路面では前輪ブレーキをやや強めにかけ、路面が雨などでぬれてすべりやすいところでは後輪ブレーキをやや強めにかけた方がよい。"
24,"二輪車の乗車用ヘルメットは、あごひもを確実に締めることができれば工事用安全帽でもよい。"
25,"二輪車でツーリング走行するときは、楽しく快適に走行するため、あらかじめ計画を立てた方がよい。"
26,"三輪を運転するときは、風の抵抗をなるべく受けないようにするために、前かがみになって体をできるだけ低くした方がよい。"
27,"オートマチック三輪車に無段変速機が採用されている場合は、渋滞など低速走行時にスロットルを戻しても車輪に伝わるエンジンの力が変わることはない。"
28,"二輪車でブレーキをかけるときは、ハンドルを切らない状態で車体を垂直に保ち、エンジンブレーキをきかせながら前後輪のブレーキを同時にかけるのがよい。"
29,"二輪車は、前の車が右折などのため進路を変えようとしているときであっても、加速性能に優れ小回りがきくので追い越すことができる。"
30,"三輪車でエンジンブレーキをかけるときは、高速ギアからいきなり低速ギアに入れた方がよい。"
31,"二輪車でカーブにさしかかったときは、カーブの手前でクラッチを切り惰性で安定を保ち、カーブの後半で前方の安全が確認できたところで徐々に加速するとよい。"
32,"大型自動二輪車や普通自動二輪車の積載装置に積むことのできる積載物の幅（側車付きのものを除く）は、積載装置の幅に左右それぞれ0.3メートルを加えた幅までである。"
33,"二輪車の点検は、車輪にガタやゆがみはないか、ハンドルは重くないか、ブレーキのあそびは適当かなどを点検しなければならない。"
34,"二輪車のブレーキには、ブレーキペダルを使う後輪ブレーキ、レバーを使う前輪ブレーキ、スロットルの戻しまたはシフトダウン（低速ギアに入れること）によるエンジンブレーキがある。"
35,"自動二輪車で交差点を右折する場合は、あらかじめできるだけ道路の中央に寄り、交差点の中心の外側を徐行して進行しなければならない。"
36,"二輪車に乗る人は、慣れない最初のうちは小型の車種を選び、慣れてきてから大型の車種を選ぶようにした方がよい。"
37,"二輪車で夜間走行するときは、目立つように反射性の衣服または反射材のついた乗車用ヘルメットを着用するとよい。"
38,"二輪車は四輪車に比べて小さいため、大型車などの死角に入らないように注意しなければならない。"
39,"原動機付自転車は高速自動車国道は通行できないが、自動車専用道路は通行できる。"
40,"二輪車で走行中にブレーキをかけるときは、数回に分けてかけた方が安全である。"
41,"大型自動二輪免許を取得して1年未満の者は二人乗りはできないが、普通自動二輪免許を取得して1年以上経過している場合は二人乗りができる。"
42,"自動二輪車の免許を受けて3年以上経過している者は、高速道路で二人乗りができる。"
43,"二輪車のハンドルを変形ハンドルに変えることは運転の妨げとなり危険である。"
