id,question
1,この標識のある交差点で右折しようとする一般原動機付自転車は、二段階右折をしなければならない。
2,この標識のある場所では、明らかに安全であっても、必ず一時停止しなければならないことを示している。
3,混雑している交差点（環状交差点を除く）を右折する場合は、対向車の切れ目をぬって最短距離で右折してもかまわない。
4,内輪差とは、ハンドルを左右に切ったときの「ハンドルのあそび」をいう。
5,踏切を通過するときはエンストを防ぐため、早めに変速を行い、高速ギアで一気に通過するのがよい。
6,踏切の向こう側が混雑しているため、そのまま進むと踏切内で動きがとれなくなるおそれがあるときは、踏切に入ってはならない。
7,一方通行の道路から前方の交差点を右折するとき（環状交差点を除く）は、できるだけ道路の左端に寄り、交差点の中心の外側を徐行しなければならない。
8,交通整理の行われていない交差点（環状交差点を除く）で、交差する道路が優先道路であるときや道幅が広いときは、徐行して交差道路を通行する車に進路をゆずる。
9,交差点（環状交差点を除く）で右折をしようとするときは、先に交差点に入っていても、対向する直進車や左折車があるときは、その進行を妨げてはならない。
10,左折しようとするときは、あらかじめできるだけ道路の左端に寄り、交差点の側端（環状交差点ではその側端）に沿って徐行しながら通行する。
