id,question
1,交通事故を起こした場合、刑事上の責任は車を運転した本人にあるが、民事上の責任はすべて車にかけてある保険の保険会社が負うことになっている。
2,シートベルトの腰ベルトは、腹部にかかるようにゆるく締めるとよい。
3,二輪車にまたがったとき、所定のつま先が少し地面につき、単体を支えることができれば、体格に合った車種といえる。
4,自動車検査証と自動車損害賠償責任保険証明書または責任共済証明書を車に備えておくと紛失するおそれがあり、再交付の手続きが面倒なので、コピーしたものだけを車の中に置いて運転した。
5,これから車を運転しようとする人に、酒を出したり、すすめたりしてはいけない。
6,車を運転する人は、ほかの道路利用者や沿道で生活している人々の立場も考え、人に迷惑をかけない心がけが必要である。
7,交通規則は、道路を安全、円滑に通行するための「共通の約束ごと」であるから、たとえ交通事故を起こさない自信があっても、交通規則に従わなければならない。
8,自動車を運転中、行き先がわからなくなったので、備え付けのカーナビゲーションを注視しながら走行した。
9,チャイルドシートは、その幼児の体格に合った、座席に確実に固定できるものを使用しなければ効果がない。
10,四輪車で運転席に座ったときのシートの前後の位置は、クラッチペダル（AT自動車はブレーキペダル）を踏み込んだとき、ひざがわずかに曲がる状態に合わせる。
