id,question
1,"徐行や停止をするときにも、合図をしなければならない。"
2,"前車が一般原動機付自転車を追い越そうとしているときに、その車を追い越しても二重追い越しにはならない。"
3,"この標識は、道路の右側部分へはみ出して追い越すことを禁止している。"
4,"自動車を車道の左側端に停車していて発進しようとする場合の合図は、右折の場合と同じ要領でおこない安全確認をしなければならない。"
5,"四輪車の運転者は、左折しようとするとき、バックミラーでは見えない部分に二輪車や自転車がいることを予測し、方向指示器により自分の意思を知らせることが必要である。"
6,"対向車のライトがまぶしいときは、視線をやや右前方に移して目がくらまないようにする。"
7,"この標識は、自動車や一般原動機付自転車及び軽車両は通行できないことを表わしている。"
8,"大型特殊免許で運転できるのは、大型特殊自動車、大型自動車、小型特殊自動車、一般原動機付自転車である。"
9,"一般の車両は、交差点や交差点の付近で緊急自動車が近づいてきた場合は、交差点をさけて道路の左側に寄って一時停止をしなければならない。"
10,"仮運転免許では、練習又は路上試験（技能検定）を受ける場合のほかは路上で運転してはならない。"
11,"道路外の施設へ進入するため、歩道を横切るときは、歩行者のあるなしに係わらず、必ず一時停止して安全を確かめなければならない。"
12,"進路変更をするときは、まず方向指示器で合図をしてから安全を確認する。"
13,"信号機の信号が赤色になっても、交差点ですでに右折している車はそのまま進行することができる。"
14,"障害物がある場所ですれちがうときは、障害物のある方を進行する車が優先して通行することが出来る。"
15,"図の交差点にさしかかったＡ車はアの交差点の手前で徐行しなければならない。"
16,"歩行者や自転車のそばを通るときは、必ず徐行しなければならない。"
17,"車両は、車両通行帯の有無に関係なく、トンネルの中は追い越しが禁止されている。"
18,"自動車や一般原動機付自転車は、交通が混雑している道路で路側帯があるときには、その路側帯の中を通行することができる。"
19,"前方の交差点を左折しようとするときは、左側を通行する車の安全を考え、道路の中央に寄ってから徐行しながら左折する。"
20,"車両は、停留所に止まっている路線バスに追いついたときは、一時停止しバスが発進するまでその横を通過してはならない。"
21,"仮運転免許は、第一種運転免許を受けようとする者が練習のため大型自動車、中型自動車、準中型自動車、普通自動車又は大型特殊自動車を運転しようとする場合に必要な免許である 。"
22,"車は、横断歩道のない交差点や、その近くを歩行者が横断しているときは、その通行を妨げてはいけません。"
23,"この警察官の灯火による信号の意味は、矢印の方向から接近する交通に対する信号機の青色の灯火の信号と同じである。"
24,"運転免許には、第一種運転免許、第二種運転免許及び仮運転免許の三種がある。"
25,"一般の通行車両が一方通行の道路で緊急自動車に進路をゆずる場合は、左側に寄るとかえってさまたげになるときは道路の右側に寄らなければならない。"
26,"路面に図のような標示があるときは、その前方に交差点があることを示している。"
27,"この標識は、この先の道路が右カーブになっていることを表わしている。"
28,"自動車を運転して右折するときは、あらかじめその前からできる限り道路の中央に寄り、交差点の中心のすぐ内側（標識などによって、通行すべきところが指定されているときは、そ の指定されたところ）を徐行　しなければならない。"
29,"自動車を運転して追い越しを始めるときは、ハンドル操作を手ぎわよくするため、あらかじめ前車との車間距離を短くしてから始めるのがよい。"
30,"車両は、車両通行帯のある道路では、追い越しなどでやむを得ない場合のほかは二つの車両通行帯にまたがって通行してはならない。"
31,"この標識は、「横断歩道」を表わしている。"
32,"交通整理中の警察官が腕を垂直に上げているとき、警察官の身体の正面に対面する交通については、信号　機の赤色の灯火の信号と同じ意味である。"
33,"車両等は、一時停止の標識があるときは停止線の直前で、停止線がないときは交差点の直前で一時停止しなければならない。"
34,"歩行者が横断歩道以外の場所を横断しているときは、車の方が優先するので警音器を鳴らして、走行すればよい。"
35,"車両等は、横断歩道に近づいた場合、歩行者が横断しているときは一時停止しなければならないが、これから横断しようとしている場合は徐行すれば通行してもよい。"
36,"仮運転免許で路上練習をする場合は、「初心者マーク」を車の前後につけなければならない。"
37,"自動車または一般原動機付自転車を運転中、横断歩道や自転車横断帯の手前で止まっている車があるときは、その側方を通過して前方に出る前に一時停止しなければならない。"
38,"交通整理の行われていない交差点で、道幅が同じである場合は、左方からの車にゆずる。"
39,"普通貨物自動車（ミニカーを除く）の一般道路での法定最高速度は50キロメートル毎時である。"
40,"正面の信号が青色のときは、車は直進し、左折し、右折することができる。"
41,"右折するときには内輪差は生じない。"
42,"歩道と車道の区別のない道路で、車が歩行者のそばを通るときは必ず徐行しなければならない。"
43,"児童、幼児の乗り降りのため停止している通学・通園バスの側方を通るとき、バスとの間に安全な間隔がとれれば徐行しないで通ってもよい。"
44,"この標識は、自動車の最高速度が、５０キロメートル毎時であることを表わしている。"
45,"車両は一方通行になっている道路では道路の中央から右の部分にはみ出して通行することができる。"
46,"バスや路面電車の停留所から10メートル以内は追い越しが禁止されている(運行時間外を除く)。"
47,"この標識のある道路では、車庫などに入るため右横断をしてはならない。"
48,"大型乗用自動車の一般道路での法定最高速度は60キロメートル毎時である。"
49,"停止距離とは、ブレーキがきき始めてから車が停止するまでの距離をいう。"
50,"重い荷物を積んでいるときは、制動距離が長くなる。"
51,"横断禁止や転回禁止の標識のある道路では、後退もしてはいけない。"
52,"初心運転者期間に交通違反などをして再試験対象初心運転者となり、再試験に不合格になると免許が取り消される。"
53,"タクシーはグリーンナンバーを付けているので、修理や回送などの時でも二種免許保持者でなければ運転してはならない。"
54,"交通整理中の警察官が腕を垂直に上げているとき、警察官の身体の正面に対面する交通については、信号機の黄信号と同じ意味である。"
55,"普通貨物自動車の一般道路における法定速度は６０キロメートル毎時である。"
56,"トンネルの中では、原則として追い越しは禁止されている。"
57,"「高齢車マーク」を付けて、高齢者が運転している車両の側方に幅よせしてはならない。"
58,"この標示は前方に学童用通学路があるという意味であるので、加速して追い越しなどをしてはいけない。"
59,"路線バス専用通行帯であっても、一般原動機付自転車、小型特殊自動車、軽車両は通行することができる。"
60,"追い越し禁止の道路であっても、一般原動機付自転車を追い越すことは違反にならない。"
61,"対面する信号機が青色になった場合は、どんな場合でも直ちに発進しなければならない。"
62,"横断歩道の直前で停止している一般原動機付自転車があるときは、他の車両は徐行して通過しなければならない。"
63,"重い荷物を積んでいるときは、制動距離が長くなる。"
64,"赤点滅信号の意味は、一時停止の標識の意味と同じである。"
65,"小型特殊自動車の免許では一般原動機付自転車も運転することができる。"
66,"運転免許証または、免許情報記録個人番号カードを携帯しないで運転をすると無免許運転となる。"
67,"転回の合図を出す時期は右折の合図を出す時期と同じである。"
68,"普通免許取得後１年間は、普通自動車を運転する際に「初心者マーク」を車の前後につけなければならない。"
69,"運転席と運転席の横の座席に人を乗せるときはシートベルトを着用しなければならないが、後部座席に人を乗せるときは着用させる義務はない。"
70,"制限速度が30キロメートル毎時以下の道路だけはシートベルトを着用しないで運転してもよい。"
71,"進路変更をするときはまず後方をよく確かめてから合図を出す。"
72,"交差点を右折するときは図のように進行するのが正しい。"
73,"自動車は、交通整理の行われている交差点で、道路の左側部分に車両通行帯が３以上設けられている道路の左折車線を通行してきたときは、左折しなければならない。"
74,"「追越し禁止」の補助標識が取り付けられていない図のような標識のある場所では、道路の左側部分であっても追い越しをしてはならない。"
75,"こどもが一人歩きしているそばを通るときは、警音機を鳴らして通行する。"
76,"左図のように進路を変えてはならない。"
77,"前方の信号機が青色の左向きの矢印を表示しているときは、一般原動機付自転車は左折することはできない。"
78,"体に一定量以上のアルコールを帯びて運転してはならないが、ビールはアルコール分が少ないから、少しなら飲んで運転してもよい。"
79,"片側一車線の道路が渋滞しているときは、中央線から右側の部分を走行することができる。"
80,"仮免許で路上練習する場合は、免許歴を問わずその自動車を運転することができる免許を持っている人の同乗指導をうければよい。"
81,"中央線のない「じゃり道」では、対向車のある時を除き道路の中央を走行できる。"
82,"近くに交差点のない道路で緊急自動車に進路をゆずるときは、道路の左側に寄ればよく、必ずしも一時停止する必要はない。"
83,"交差点の中で、後方から緊急自動車が接近してきたことを知ったときは、直ちにその場に停止しなければならない。"
84,"前方の交差点を左折しようとするときは、左側を通行する車の安全を考え、道路の中央に寄ってから徐行しながら左折する。"
85,"歩道や路側帯のない道路の左端から0.5メートルの部分に、自動車を乗り入れて通行してはならない（二輪のものを除く）。"
86,"人の乗り降りのため停止している通学通園バスに追い付いたときは、後方で停止しなければならない。"
87,"対向車が中央線を越えて追い越しをしてきたので、やむを得ず「初心運転者標識」をつけている車の前方に割り込んだ。"
88,"この標識は、学校が近いことを表している。"
89,"このような標識のある場所のそばを通るときは、必ず徐行しなければないない。"
90,"こどもを前部座席に乗せることは、こどもにとって危険であり、また運転操作の支障になる場合あるので後部座席や補助装置を使用して乗せるようにする。"
91,"安全地帯のある停留所で、停止中の路面電車に追いついたときは、乗降客や横断歩行者に注意しながら徐行して通過することができる。"
92,"車の運転者は、横断歩道に歩行者がいなくても、徐行して通行しなければならない。"
93,"制動距離は、空走距離と停止距離を合わせたものである。"
94,"普通自動車で、車両総重量が同じくらいの故障した普通自動車をけん引する場合の最高速度は３０キロメートル毎時である。"
95,"右折や左折をしようとするときは、必ず徐行しなければならない。"
96,"オートマチック車は、始動直後やエアコン作動時は、エンジンの回転数が高くなり急発進する危険があるので注意する。"
97,"この標識のある道路では、沿道に車庫を持つ車であれば歩行者に注意しながら通行することができる。"
98,"交差点で対面する信号機が黄色のときは、人も車も原則として交差点の手前で「止まれ」と指示している。"
99,"道路の左端や信号機にこの標示板があるときは、前方の信号が赤であっても、自動車、一般原動機付自転車などは、まわりの交通に注意しながら左折してよい。"
100,"信号機のある踏切では、信号が青色であれば、一時停止や安全確認をしないで通過してよい。"
101,"このような標識のついた車に対しては、危険防止のためやむを得ない場合を除き、側方へ幅よせしたり、前方へ急に割り込んではならない。"
102,"転回をするときの合図は、右折するときの合図と同じである。"
103,"このような標識がある道路では、横断も転回も禁止されている。"
104,"小型特殊自動車の免許では一般原動機付自転車も運転することができる。"
105,"このような標識のある道路では、乗車定員29人の大型乗用自動車は通行することができる。"
106,"重い荷物を積んでいる場合は、制動距離が長くなるので、前車に対して車間距離を十分とるようにする。"
107,"このような標識のあるところでは、普通自動車だけが軌道敷内を通行することができる。"
108,"普通免許では、小型特殊自動車や一般原動機付自転車を運転することができる。"
109,"仮免許を受けて、道路で運転する場合の同乗指導者は、運転経歴に関係なくその車を運転できる免許を受けていればよい。"
110,"普通免許で、２．５トン積みのトラックを運転することはできない。"
111,"普通二輪免許を受けた期間が通算して１年に達しない者は、２人乗りをしてはいけない。"
112,"自動二輪車や一般原動機付自転車のエンジンを止めて押して歩くときは、歩行者として扱われる。"
113,"交差点のない道路で、後方から緊急自動車が近づいてきたときは、左端に寄って一時停止しなければならない。"
114,"左側部分の道幅が６メートルない道路で追い越しをするときは、中央から右側にはみ出すことができる（道路の中央に黄線がひかれている場合を除く）。"
115,"同一方向に３つの車両通行帯がある道路で、特に車の通行区分が指定されていないときは、もっとも右側の通行帯をあけて通行する。"
116,"ガソリンスタンドに入るため歩道を横切るときは、徐行しなければいけない。"
117,"一般原動機付自転車の右折方法は、交通整理の行われている交差点では軽車両と同じ方法で右折しなければならない場合がある。"
118,"通園通学バスが止まっているときは、後方の車はバスが発進するまで、その横を通過してはならない。"
119,"空走距離は路面の状態と関係ないが、制動距離は路面の状態に関係がある。"
120,"図の標識がある道路は、自動車と一般原動機付自転車は時速５０キロメートルの速度で運転してよい。"
121,"共同危険行為などの違反をあおった人は、車の運転をしていなくても、免許を取り消されることがある。"
