id,question
1,"高速自動車国道での大型乗用自動車と大型貨物自動車の最高速度は同じである。"
2,"高速道路の本線車道には、路側帯や路肩も含まれる。"
3,"高速道路で故障や燃料切れなどにより運転ができなくなったときは、車の後方の路上に停止表示器材を置くほか、夜間はもちろん、昼間でも視界が200メートル以下の場合は、非常点滅表示灯、駐車灯や尾灯をつけなければならない。"
4,"高速道路の加速車線と本線車道の合流するところでは、本線車道の流れの切れ目を考えて、十分加速して合流するとよい。"
5,"高速道路で、加速車線との合流付近を走行中、加速車線から緊急自動車が接近してきたときは、緊急自動車に進路をゆずるため、追越車線に進路を変えるとよい。"
6,"高速道路では、ミニカー、総排気量125cc以下の普通自動二輪車、原動機付自転車は通行できない。"
7,"標識などで速度が指定されていない高速自動車国道の最低速度は、時速50キロメートルである。"
8,"雨の中で高速走行すると、スリップを起こしたり、タイヤが浮いてハンドルやブレーキがきかなくなることがあるが、これをハイドロプレーニング現象という。"
9,"高速道路では、貨物自動車は積み荷の有無にかかわらず、登坂車線を通行しなければならない。"
10,"高速自動車国道で、本線車道から減速車線に出るときは、あらかじめ本線車道でブレーキをかけ、十分減速してから減速車線に入るのがよい。"
